id,customer_tweet_id,text,history,intent,sentiment,urgency,escalate,reason,ideal_reply_notes,labeller,suggested_intent
g036,2983788,"That link goes to a ""my account has been hacked"" help page. I tried the normal help form but get errors to try again later",I was severely undercharged for a long trip. How can I make sure the driver gets paid the right amount? Help forms aren't working and in-app help doesn't have this as an issue I can select,,,,,,,,fare_dispute
g037,76193,"Is Wonderla Park, Bangalore accessible by from Bangalore City? Is that area under Uber Coverage? Will I get a ride back by evening 7.30 as well? If I schedule a ride, does that mean I will get a ride for sure?",,,,,,,,,policy_or_info_question
g038,2286041,we’re Can I call someone have a issue with a ride driver just didn’t stop the ride till 1 hour later after I left the car ?,,,,,,,,,trip_or_driver_issue
g039,2739556,trying to get an invoice on a recent ride from my business account,,,,,,,,,policy_or_info_question
g040,1872709,"So, in other words, No. Ok. Thanks. I was hoping there was a way because I thought a cool thing to do would be to Uber my way across the US",I'm going to visit a friend over Thnksgiving. I'd like to drive while there for Uber. I was a long time res. How do I do this?,,,,,,,,driver_onboarding_or_earnings
g041,2950062,"hi! I had trouble with Uber today. Though the driver and I are settled, am left with a cancellation penalty. What email should I contact to have this lifted? Thank you!",,,,,,,,,fare_dispute
g042,2866535,Officially used for the last time tonight..how did I confirm a pick up that now I'm charged a cancel fee for? I opened the app and it froze. Reopened it to a confirmed uber. I was in a moving bus. Scam,,,,,,,,,fare_dispute
g043,409405,"Ehhh, already handled it via the app chat and got a generic copy paste response. Gonna be using Lyft instead from now on","I got an Uber, driver came, asked where I was going and told me to get out now very rudely saying he was cancelling and I was wasting his time, told me to get out immediately before the ride even started",,,,,,,,trip_or_driver_issue
g044,2562424,"still can’t get Mumbai maps right, from powai to navi Mumbai via kurla, cancelled twice - charges and still provides same route almost double journey time",,,,,,,,,app_or_account_issue
g045,1086171,"hi there, I've been waiting for my uber invoices for a few months and they are still unavailable. how can I get them?",,,,,,,,,app_or_account_issue
g046,1847550,you guys need to get ur shit together and get a customer service phone number. Ur a huge company step it up,,,,,,,,,other
g047,660547,"I’m going to cancel my fucking account and give all of my business to . Had several problems these past two weeks with dumbass, inconsiderate drivers!",,,,,,,,,other
g048,1655144,I have random charges on my bank account with no match up to any rides i have taken?,,,,,,,,,fare_dispute
g049,2820731,Cld u plz sgst me wt 2 do whn ur drvr say he wnt mve until u pay 4 d tol nd d tol dsnt acpt “d md of pymnt dt ws slctd at d strt of my trip”,Drvr askd me 2 py d tol nd sd he wnt go ahead until i do so.Rasd a cmplnt 2 nd dis is hw dy r rctng,,,,,,,,trip_or_driver_issue
g050,1644020,"Eddie, the driver, deserves 5 stars, uber, come on, let's change that rating. Give the possibility of changing it",that does not exist. The driver deserves a much better rate than what I gave by mistake,,,,,,,,other
g051,1055550,"my friend has lost her phone tonight in Camden, j17 pnk. Please can we have his number to ring him?!",,,,,,,,,lost_item
g052,2923083,the saga continues says they released the hold and my bank is responsible. My bank says no took my money. Bank has started a claim against and I guess I need a lawyer. should not get away with this. #crooks,,,,,,,,,fare_dispute
g053,2883724,i cannot submit anything on that link !!!! what should i do???????,hey can you please not to keep connecting me with driver who have such a bad ratings? i cancel my order for more than three times bc you connect me to the same drive who have bad ratings and you suspend me then !!!! what is this ?????????,,,,,,,,trip_or_driver_issue
g054,1088993,"is there something wrong with the system tonight, I have 2 trips processing 1 of them has been doing it for 90 mins",,,,,,,,,app_or_account_issue
g055,689071,"my ubereats is delayed, i've been on hold on the phone with UberEats support for 7 minutes waiting for someone to answer..can someone please help me",,,,,,,,,uber_eats
g056,2754819,"your help site has no helpful info. I am an employer and I need to verify someone's employment with Uber as s driver. Who do I contact?""","Who do I call if I need to verify employment with your company for a driver? Your site has NO phone numbers, email, or anything of the sort for contact. SERIOUSLY!?",,,,,,,,policy_or_info_question
g057,1747492,After waiting 10 min for the driver to get here they cancel my ride and I had to wait for another few min to get another. Thx,,,,,,,,,trip_or_driver_issue
g058,30862,Thanks but tried with several cards from different banks and countries but still not working :/,Hi can you tell me why I can add no credit cards or PayPal account on my Uber? Impossible to use the app :/,,,,,,,,app_or_account_issue
g059,2618464,"Hey Uber, I ordered food and the order was entirely wrong. I paid $30 and was only refunded $1.50 and I can't find out how to re-open that support request",,,,,,,,,uber_eats
g060,703135,driver did not stop trip at my drop location. Charged exorbitant amount. kindly look into it. No response to complaint,,,,,,,,,fare_dispute
g061,2793230,4 times I said you deactivated to stop me seeing the proof of purchase but it's fine I contacted the papers and my bank the request the money returned,not so helpful now are you I direct messages you it's disgusting the customer services you provide,,,,,,,,fare_dispute
g062,1946559,😢sad that I recharged for Rs 555 to get #kochi offer. And Uber CustomerCare says as attached. Mismatching can be solved. What’s system generated flag? Plz solve it IT GUYS,,,,,,,,,fare_dispute
g063,2459257,Hi why aren’t the chicken tenders on the UberEATS app?,,,,,,,,,uber_eats
g064,133108,So first of all my food got very delayed and now there is no response from you guys yet. Also the food was bad. Thanks,so my order is delayed and you contact number is nowhere to be found. #help,,,,,,,,uber_eats
g065,1749372,my uber eats isn't working saying error payment profile please can you help,,,,,,,,,uber_eats
g066,1372848,Sending now in a DM. Thanks for your help!,Does you monthly UBER POOL package include rides from Brooklyn to Manhattan for same flat fare as a reg Manhattan to Manhattan ride?,,,,,,,,policy_or_info_question
g067,2306554,The option isn't even there and the customer support on the app isn't even replying,Don't you love it when doesn't honor the price of the ride and charges you twice & doesn't try to help you at all? 🙃,,,,,,,,fare_dispute
g068,920669,No my man RICHARD got us to our destination safe and sound. 5Star. How's your night been tho?,Man I'm already drunk as hell and work early asfuck and my Uber got pulled over,,,,,,,,other
g069,1279121,Hello! I forgot mi mobile in inside of Uber in Santo Domingo (Dominican Republic) Please help me with some contact info,,,,,,,,,lost_item
g070,787696,"I dont get why i should have a deficit , for a driver who didnt show up , wasted my time ,kept lying about his location",,,,,,,,,trip_or_driver_issue
g071,1655713,i lost my phone on the car and I'm getting 0 support. help me pls. send me at least an email for contact. >i dont have my phon,,,,,,,,,lost_item
g072,1212351,"was in a car accident in an uber yesterday, and you still haven’t come back to me with the details of the driver who hit us!",,,,,,,,,trip_or_driver_issue
g073,729924,"Tried booking in Taiwan, saying payment method not valid, card is working and have been used across countries 9930837335",,,,,,,,,app_or_account_issue
g074,2808912,"So disappointed in and . I ordered the BUFFALO platter, and this what I got! There's no BUFFALO sauce on it!",,,,,,,,,uber_eats
g075,423301,u've made it more difficult to reach out via email. Haven't received refund on 2 trips yet. Been 10 days,,,,,,,,,fare_dispute
g076,1527782,first time I tried to use your app you fucked me so hard and made it impossible to get customer service help. Y'all suck I gota,,,,,,,,,app_or_account_issue
g077,112928,"Hi I sended but until now nobody answered me, and nobody helped me.. Can you help me? I was charged improperly for a crash/bug in the uber app",I am not receiving any returns regarding claims for improper charges from .... Can you help me?,,,,,,,,fare_dispute
g078,584106,Mobile phone stolen from uber car. Pls look into the matter urgently!,,,,,,,,,lost_item
g079,476504,"trying to get help with a charge credit issue. Exchanged 10-12 emails with support, getting standard replies. I have tried explaining in all possible ways. #amex #ubercredit. Please help",,,,,,,,,fare_dispute
g080,2520899,I have a bone to pick with whoever is in charge of the Pool algorithm - I just drove in the complete opposite direction to pick people up and am getting further and further away from my actual destination!,,,,,,,,,trip_or_driver_issue
g081,486881,seriously do u consider that clients to travel? Was trying to get one auto as no cabs available. For more than 1 hour no one accepted wat the heck no can available but driver said they got customer care call to take Ride. So bad then how canyou win competition,,,,,,,,,other
g082,1867101,When your Uber driver starts opening windows at random and you have to brace yourself for the inevitable 😷,,,,,,,,,trip_or_driver_issue
g083,2485916,"Most funny part is, Amount auto debit from account. 🙁🤔","pathetic service these days Driver cancelled trip & I charged 125 INR for wrong trip,trip shows Jaipur haiway, I'm Gurgaon #uberdriver",,,,,,,,fare_dispute
g084,676260,"I've been looking at this while trying to place an order for the last half hour. That, and your site doesn't have a help section. To say that I'm unhappy would be a serious understatement",,,,,,,,,app_or_account_issue
g085,2408981,Rubbish promotion crashed #nodounutsforme :(,,,,,,,,,other
g086,2973904,"great, I'll be in touch. Thank you!",hello how can I request a refund?,,,,,,,,fare_dispute
g087,1432543,looking for more info about applying for the Uber visa,,,,,,,,,driver_onboarding_or_earnings
g088,886373,"Actually, he went even further than I initially thought! I guess I’ll be contacting my bank if I don’t get my money back! :)","my driver dropped me off at Jamaica Station, but ended the ride 13 minutes after dropping me off. I’d like a refund",,,,,,,,fare_dispute
g089,65977,eats has the most fucked up UX among all orders apps. Can't get a simple location right,,,,,,,,,uber_eats
g090,346795,still haven't received an update or email,"just charged me twice. My fare was supposed to be $16 and some change , you charged me for that , then $26. Can you refund & assist?",,,,,,,,fare_dispute
g091,1768348,keeps sending me my wrong order!! I really wanted French fries 😩😩,,,,,,,,,uber_eats
g092,1457417,No support from ! Waiting since yesterday #uber,driver left me 30 mins far from home in Kiev! You better justify this ! I am a great fan of your services but I’ll never use it again,,,,,,,,trip_or_driver_issue
g093,1927629,I need some help.. I wanted to use the promo code for free delivery on orders over $30 but it placed my order before I could,,,,,,,,,uber_eats
g094,1247365,There should be a policy for that if your driver cancels after 1m that THEY get charged and the rider gets credit. #Insane,,,,,,,,,trip_or_driver_issue
g095,1172263,I just sent a message. How quickly will i hear back from your team? My event is tomorrow and Thursday. Need to know ASAP. THX,HELP! I made an Uber event and the address is incorrect. How do I update this? Please respond ASAP. Thanks,,,,,,,,app_or_account_issue
g096,2017164,Hi. My friend forgot a bag in a uber car in Toronto. Any way u could help?,,,,,,,,,lost_item
g097,1370691,I was charged for a ride I did not take or approve of. I tried calling and e-mailing but your support does not work there,,,,,,,,,fare_dispute
g098,2426079,Why does Krispy kremes not come up on my Uber eats????,,,,,,,,,uber_eats
g099,925399,Yo ! I’m not using your service again. I complained about a driver who yelled at me on the phone & in car and your response sucked,,,,,,,,,trip_or_driver_issue
g100,2874414,it makes me sick how much I actually use this app and I never ever get this smh I'm salty,,,,,,,,,other
g101,728159,When I cancelled my ride due to lack of time I saw that you've charged me some amount?,,,,,,,,,fare_dispute
g102,2359079,I tried to share my two cents knowledge but he ridiculed me and in fact asked me to get down..such arrogance (3),,,,,,,,,trip_or_driver_issue
g103,2846374,I was sick outside the car of an uber. No where near the car. Yet I am being charged over £100 for a cleaning fee of a £53 fare. What??? I need support from this,,,,,,,,,fare_dispute
g104,2811192,so y’all REALLY gon have me wait 45 minutes for my food and THEN TELL ME you can’t fulfill my order?? Are you kidding me?,,,,,,,,,uber_eats
g105,2920590,just spent twenty minutes waiting for our order to say it’s not been completed and having to try somewhere else,,,,,,,,,uber_eats
g106,1145236,Why I'm still charged RM5 for cancellation fee while the driver is still 9 minutes away from me ? This is ridiculous!!,,,,,,,,,fare_dispute
g107,1018340,"Ordered breakfast and received this... still waiting for a response from , still hungry",,,,,,,,,uber_eats
g108,1711207,"or NEEDS to come to Spring Hill, Florida already!! We got all these restaurants now, y’all don’t wanna bank off that?🤔",,,,,,,,,other
g109,2354020,Absolutley not good enough. This happened Saturday it's now Monday. No contact or help at all. Generic messages are not acceptable,frauded Saturday night still NO call back from your company. This is going to court as Iv no idea what your doing with my info,,,,,,,,app_or_account_issue
g110,114574,Thank you so much for your very quick answer. Have a nice day,Hello! Where can i talk to anyone in Uber México? Is there a phone number? I have a problem y nobody answers me in twitter MX 🙇,,,,,,,,policy_or_info_question
g111,1224655,I didn’t get half of the food I ordered..... I’m angry,,,,,,,,,uber_eats
g112,1399453,The link that you sent me redirects me in the help page. What can I do from there?,Unnaceptable service from in London. Drivers cancelled me 2 times at 3am because the rate wasn't high enough! Had to wait 30'!,,,,,,,,trip_or_driver_issue
g113,499220,just had a driver call and cancel me because I wasn't going far enough,,,,,,,,,trip_or_driver_issue
g114,1424294,"i know exactly what day i stopped using uber bc they double charged me, now I’m being triple charged but more $$$? fuck you",are you kidding me? i haven’t used since AUGUST 13TH and was just charged $70 for... what? refusing to use the app anymore? 🤔,,,,,,,,fare_dispute
g115,2747443,Just got 59 dollars taken from my days earnings. Now I have to drive one hour to the nearest office to solve this. Very messed up. I don't work hard to give you a good name so you come and do this. I can't go drive one hour and loose. Day of work,,,,,,,,,driver_onboarding_or_earnings
g116,2405320,I’m disappointed been waiting all afternoon for our office treat #NoDonuts,,,,,,,,,other
g117,407119,SO disappointed what's happened to you!! Charging me £80 for cleanup when I left the car perfectly normal?! Whattttt!! Sort it out 😤😤,,,,,,,,,fare_dispute
g118,2133422,"my app won't open. I have updated it, uninstalled and reinstalled it like 10 times and it still won't open. Can you please help or should I just continue to use and Via?",,,,,,,,,app_or_account_issue
g119,2232335,"I got a text to go to to consent to my background check, but once on the site, nothing shows up",,,,,,,,,driver_onboarding_or_earnings
g120,19230,To the driver who has been 2mins away for over 15mins. I hope you battled a dragon to get to me,,,,,,,,,trip_or_driver_issue
g121,2194241,Not being able to apply promocode DELNOV8 which was sent to me by Uber via email,,,,,,,,,fare_dispute
g122,1916509,is uber services available in goa?,,,,,,,,,policy_or_info_question
g123,1398734,It’s already been reported. His account was suspended immediately and I was told people have been banned for less,A stranger in an uber pool put his hand on my upper thigh last week & I was so shocked/uncomfortable it took a whole day to tell anyone,,,,,,,,trip_or_driver_issue
g124,1299620,"if I put in the promo code in the app, do i just wait for a galantis Uber driver to contact me?",,,,,,,,,policy_or_info_question
g125,1399449,And I've reported the matter but there has been no replies! I even sent my bank statement as proof of your fucken double billing!,,,,,,,,,fare_dispute
g126,2747439,I'm applying to deliver with UberEats and realized that i accidentally have one number wrong in my email causing me to create a whole new account with my updated phone number and leaving my real account still active with an old number,I no longer have access to a phone number associated with my Uber account. also is it possible to delete your account?,,,,,,,,app_or_account_issue
g127,784110,I already did twice. I guess it'll be from now on. I would like a refund asap. Terrible experience,Why does it say you are driving me to my destination. YOU NEVER PICKED ME UP! WTF,,,,,,,,fare_dispute
g128,285798,"you guys need to make sure the restaurant or place be getting the food right,ordered twice and they messed up my order tired of it",,,,,,,,,uber_eats
g129,1944949,WHAT THE FUCK IS HAPPENING,,,,,,,,,other
g130,313733,"Thanks, filled it out already. ✌🏼","Hello , recently changed my number, can you help me update it in your system too? Can’t figure out how to login 😕 Thanks much",,,,,,,,app_or_account_issue
g131,1149830,There is no place on the app where I can report an incident like this,"My drop was at Sector 5, Noida & got off at 11.30 am. The driver ended the ride at 12.21 pm. I've been charged Rs 200 extra!",,,,,,,,fare_dispute
g132,129945,to top that your driver charged me 210 while the fare showing in my app was 144. He showed his mobile and said 210 is correct and 144 is wrong. Wonder what you folks are upto,,,,,,,,,fare_dispute
g133,569591,hi my name Diamani my debit card information has been comprised and was used for some uber rides i already contacted my bank and i was told to contact you as well to see where the rides with my card was used without authorization,,,,,,,,,fare_dispute
g134,279048,I hope a strict action against the driver. My travel time was 16:23 driver name Karthic C Toyota ethics . Bangalore,,,,,,,,,trip_or_driver_issue
g135,1548874,"Hey , how do I go about reporting an issue that’s not quite covered by the app’s options?",,,,,,,,,policy_or_info_question
g136,1914536,And they refuse to refund after they send the wrong car! Telling you switch to !! #ubersucks,Just as suspected was no help and ignored my request to speak to someone on the phone... the world is run by robots!,,,,,,,,fare_dispute
g137,1181335,Why does have the worst service ?,,,,,,,,,other
g138,310003,how to change Uber car models? I have a 2017 Audi A4 but on app shows Uber x not Uber select,,,,,,,,,driver_onboarding_or_earnings
g139,57036,hi I received a notification about the ride pass sale but there was no follow up email or a prompt section on the app,,,,,,,,,policy_or_info_question
g140,2269733,So sorry it's built into your system and it keeps happening?,"in the last month I have been charged £16 for drivers cancelling. When complaining credited to my Uber account, not my credit card! Shambles of a company, dishonest, deserve to have all licences revoked. Thought it was an accident first time! #uber #taxi #poo #shambles",,,,,,,,fare_dispute
g141,1417267,you always bring my McDonald's cold and I don't get refunded. Please change this 😩,,,,,,,,,uber_eats
g142,285786,Do not use !!! Left my brand new iPhone in a taxi and realised 2 seconds later only for the driver not to answer and turn my phone off,,,,,,,,,lost_item
g143,653015,it was not cancelation fee as per the link you shared. the transaction is flagged as fraud now via my bank,hello .. i ride with you and it shows as 1 trip but being charged twice in my credit statement,,,,,,,,fare_dispute
g144,95724,I've been waiting for an order for almost TWO HOURS and you won't let me cancel. Absolute piss take,,,,,,,,,uber_eats
g145,2812188,"Hi , I keep getting sms:s from you about rides in Sri Lanka, which I visited in February. I have tweeted you, texted you and no reply. Please STOP sending me sms:s and respect that I ask you to stop!",,,,,,,,,other
g146,2726052,"Urgent, please call 917-502-8899 re lost item. Uber’s directions are not helping","Please, please help. We lost a phone in one of your cars yesterday. Pickup was in Queens. Driver TLC Lic. 5801096. Important medical contact on it. Please help. Call Rob 917-502-8899. Car lic. T602852C",,,,,,,,lost_item
g147,802050,I've done that but his phone is switched off. I've also gone through the option when you can't get hold of them. Has her passport too 😞,"think my mate has left bag in uber cab, can't get hold of the driver, her house key in her bag, any advice? Help!",,,,,,,,lost_item
g148,1597767,you have charged me 4 pound and 3 pound for fares u cancelled not me,,,,,,,,,fare_dispute
g149,2704269,Did you even read my tweet? The problem is I don't know whether to hang up the phone once I've left the message OR wait for further instruction,"When leaving a message to the uber driver about a lost item, do I just hang up when done or do I have to wait?",,,,,,,,lost_item
g150,2624513,It says they aren't available?,"Hey, I've had an order with a missing item with ubereats, less than an hour ago",,,,,,,,uber_eats
g151,159619,why is my account blocked even though I’ve done the security questions and tried to unblock it (weeks ago) ??,,,,,,,,,app_or_account_issue
g152,1343740,Booked an Uber pool from dlf cyber City to sector 21 which was costing me just rs 59. But my Paytm wallet was less by Rs 269 #uber_support,,,,,,,,,fare_dispute
g153,1965702,#Uber I need to contact you to dispute a cancellation fee. none of the reasons listed on your page apply. how to reach you?,,,,,,,,,fare_dispute
g154,1703160,No u robbed me of £150 in the uk WTF would I?,Oi have u linked with Rendevue? If so why cant I open an account? Theres an article online?,,,,,,,,fare_dispute
g155,242259,There’s no free food option,can’t find my promo code anywhere on the app?,,,,,,,,uber_eats
g156,1369058,I use uber so much my bank called to verify that someone wasn’t doing fraud on my acct. y’all tryna give me a discount for my loyalty?,,,,,,,,,policy_or_info_question
g157,2177683,Let me know d email address of Uber support so that I can send the details to email,"One of your cab driver Rajappa charged me Toll 130 INR, which was not supposed to charged",,,,,,,,fare_dispute
g158,1601151,This is the Shakey’s Pizza that was deliver by Uber eats. WTF? #shakeyspizza,,,,,,,,,uber_eats
g159,1370701,"Download the UberEATS app, find what you're craving, and we'll deliver it fast",,,,,,,,,other
g160,93820,I am charged thrice for the uberEATS order that I never placed. Orders were placed in UK while I stay in USA. Let me have my money back,,,,,,,,,uber_eats
g161,2106232,I'm receiving uber promo codes sms but they are not applying on the app...and I'm not finding any support in app...please respond,,,,,,,,,app_or_account_issue
g162,1109398,It seems Uber is unethical and getting into new fraud; irrespective of my polite request which was accepted 1/3,,,,,,,,,other
g163,1560084,I am unable access my account on app. Shown alway boarding. Pls call,,,,,,,,,app_or_account_issue
g164,1225896,I NEED TO GET A NUMBER THAT CUSTOMER CAN CALL ESPECIALLY WHEN YOU HAVE FUCKED UP AS DRIVERS 😡#REALLYUBER,,,,,,,,,other
g165,1381201,there are drivers nearby why do u always give me the farthest one,,,,,,,,,trip_or_driver_issue
g166,573135,I left my phone in my uber and I am unable to contact the driver. Can you help?,,,,,,,,,lost_item
g167,297469,I am so frustrated!!!,,,,,,,,,other
g168,2560493,Please help customer support. I am locked out of all of my accounts,,,,,,,,,app_or_account_issue
g169,893416,Did you answer my poll? Curious to hear what your thoughts are... I’m still torn,Running extremely late to the airport and my tells me they need to pull over and drop me off because they have to pee. Is this ok?,,,,,,,,other
g170,2668803,Hello - my app doesnt give me the option to schedule a journey in advanced - i am on android,,,,,,,,,app_or_account_issue
g171,2544063,Uber does not pay their drivers for promotions offered,,,,,,,,,driver_onboarding_or_earnings
g172,2575445,why are you randomly charging my card?,,,,,,,,,fare_dispute
g173,2800614,"i need answers about why it doesn´t update the menu in the ipad, its from Rincon Cafeto subsidiary Colosio",,,,,,,,,other
g174,1690863,I need a solution for my issue. How to get those two receipts since I need to claim for reimbursement from my company,my mobile is 9885974697 and I booked two rides in 23rd and 24th Oct. I am asking for those trip receipts since 10 days but everytime I am getting silly reasons from the help team. I am very frustrated with the poor support being provided by Uber. Please resolve it,,,,,,,,app_or_account_issue
g175,2162563,"They sure did and they said everything is ""normal"" yet when I talk to other drivers they have been getting rides all day.. 🤔🤔",tells me my account is working fine and I am recieving requests normally. I think they are full of crap,,,,,,,,app_or_account_issue
g176,2247813,"#uberlosingit worst ever ride on uberXL on 7th November! Filthy, defective vehicle, driver different from the real one and oblivious of traffic rules and dangerous driving! Lack of due diligence - is this the beginning of their end??!!",,,,,,,,,trip_or_driver_issue
g177,2503994,"I was charged £9 for a £4 journey, not happy, student life can’t fund this 😭",,,,,,,,,fare_dispute
g178,904754,has steadily lost its allure and the decline in service is horrendous. Drivers are exceedingly worse than the last,,,,,,,,,other
g179,1515429,Do customers get achievements added to THEIR profile after achievements?,,,,,,,,,policy_or_info_question
g180,1789202,your driver almost killed me,,,,,,,,,trip_or_driver_issue
g181,1993245,My wife and child got stranded at Lenox Square mall trying to schedule first Uber last night; had to use taxi. Thanks !,,,,,,,,,trip_or_driver_issue
g182,2751205,I got double charged on a trip,,,,,,,,,fare_dispute
g183,109131,"on the 18th i was double charged by and they told me over the phone i wasn't but the next day i saw the debit on my account and then was told it would be fixed within 48hrs, just so you all know its now the 23rd and still not fixed, ive filed a dispute with paypal",,,,,,,,,fare_dispute
g184,2638523,Guess this passenger who just nearly doored me while attempting to get out in the bike lane and his driver who told me to fuck off aren't on the Bus. Assoc. et al. #saferstreetsforall train,,,,,,,,,trip_or_driver_issue
g185,2420881,", i don't consider that as a followup, my request is not even read and i got a system generated response and closed. This makes no sense. see the response. Account is still not activated and this is not resolved, very conveniently marked as closed 😟😟😞😞😞😞😞😞",,,,,,,,,app_or_account_issue
g186,1269613,"booked now first driver said coming in 10 minutes and then said my location not showing in his mobile, after waiting 15 min and cancel",,,,,,,,,trip_or_driver_issue
g187,374556,"Is it possible to order a Uber at 4:30a.m. in Raleigh, NC? My friend wants to go to the RDU airport. Thanks!",,,,,,,,,policy_or_info_question
g188,2879041,Can or deal with drivers not picking me up because they're being homophobic? I'm literally just in face not full drag,,,,,,,,,trip_or_driver_issue
g189,1948336,Double notifications from Uber and Uber Driver for commute requests. How can I turn off Uber and keep Driver notifications?,,,,,,,,,app_or_account_issue
g190,1605693,what the hell I got charged $150 for a ride last night !,,,,,,,,,fare_dispute
